记录编号,问卷编号,性别,年龄,出生年份,户口类型,教育程度,婚姻状况,家庭人数,个人年收入,劳动收入,当前社会阶层_1到10,十年前社会阶层,十年后预期阶层,14岁家庭阶层,主观社会经济地位_上层到下层,知足感_与人比较,家庭收入满意度,朋友数量比较,运气比较_比别人差,吃亏感_与人比较,幸福感,逛街购物频率,上网频率,社会比较倾向,经济不满意度,地位提升期望,相对剥夺感,抽样权重
3,3.0,2.0,60.0,1961.0,1.0,6.0,3.0,1.0,36000.0,0.0,6.0,6.0,6.0,8.0,3.0,6.0,6.0,5.0,1.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,53.333333333333336,0.6164731383323669
6,6.0,2.0,49.0,1972.0,1.0,13.0,1.0,2.0,200000.0,200000.0,5.0,5.0,5.0,7.0,2.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,40.0,0.4813521802425384
8,8.0,1.0,64.0,1957.0,1.0,4.0,3.0,0.0,30000.0,0.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0,2.0,5.0,60.0,20.0,0.0,80.0,1.4764670133590698
12,12.0,1.0,74.0,1947.0,1.0,10.0,3.0,1.0,36000.0,36000.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,50.0,100.0,0.0,46.666666666666664,0.586210310459137
15,15.0,2.0,45.0,1976.0,1.0,7.0,3.0,3.0,130000.0,130000.0,6.0,2.0,8.0,6.0,3.0,6.0,6.0,5.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,22.22222222222222,60.0,0.9676405787467957
16,16.0,1.0,46.0,1975.0,1.0,3.0,3.0,3.0,60000.0,60000.0,3.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,2.0,2.0,0.0,4.0,2.0,30.0,60.0,22.22222222222222,60.0,2.228833675384521
18,18.0,2.0,63.0,1958.0,1.0,6.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,60.0,0.4165358245372772
20,20.0,2.0,39.0,1982.0,1.0,6.0,4.0,3.0,30000.0,0.0,3.0,1.0,5.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,60.0,22.22222222222222,40.0,0.6833468675613403
22,22.0,2.0,57.0,1964.0,1.0,4.0,3.0,5.0,12000.0,0.0,10.0,5.0,7.0,5.0,4.0,6.0,3.0,1.0,5.0,1.0,0.0,3.0,5.0,20.0,60.0,0.0,46.666666666666664,1.069821000099182
26,26.0,2.0,63.0,1958.0,1.0,12.0,3.0,1.0,120000.0,120000.0,6.0,7.0,6.0,3.0,2.0,6.0,5.0,1.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,33.33333333333333,0.3711983859539032
28,28.0,1.0,58.0,1963.0,6.0,3.0,3.0,2.0,20000.0,20000.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,4.0,0.0,5.0,5.0,50.0,80.0,0.0,66.66666666666666,1.3208245038986206
40,40.0,1.0,19.0,2002.0,1.0,6.0,1.0,5.0,0.0,0.0,5.0,1.0,8.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,20.0,20.0,33.33333333333333,20.0,1.0723310708999634
